direction,time,canid,len,data
TX,10:10:15.736,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:15.742,0x101,32,41 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A 32 80 FF 7F 12 09 F1 F7 EF E5 55
TX,10:10:15.755,0x300,6,40 40 40 08 04 01
TX,10:10:15.760,0x300,12,40 40 00 09 1C 01 00 01 10 42 10 20
TX,10:10:15.766,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:15.772,0x101,32,42 40 40 38 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A 10 80 FF 7F 12 09 F1 F7 EF E5 55
RX,10:10:15.777,0x101,16,43 40 00 39 24 01 00 01 10 42 10 20 02 00 01 20
RX,10:10:15.783,0x101,32,44 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A 1B 80 FF 7F 12 09 F1 F7 EF E5 55
TX,10:10:15.791,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:15.797,0x101,32,45 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A 10 80 FF 7F 12 09 F1 F7 EF E5 55
TX,10:10:15.803,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:15.812,0x101,32,46 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A 16 80 FF 7F 12 09 F1 F7 EF E5 55
TX,10:10:15.819,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:15.826,0x101,32,47 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A F9 7F FF 7F 12 09 F1 F7 EF E5 55
TX,10:10:15.839,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:15.845,0x101,32,48 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A 16 80 FF 7F 12 09 F1 F7 EF E5 55
TX,10:10:15.857,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:15.864,0x101,32,49 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A F9 7F FF 7F 12 09 F1 F7 EF E5 55
TX,10:10:15.876,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:15.887,0x101,32,4A 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A 38 80 FF 7F 12 08 F1 F7 EE E5 55
TX,10:10:15.900,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:15.907,0x101,32,4B 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A 38 80 FF 7F 12 08 F1 F7 EE E5 55
TX,10:10:15.919,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:15.926,0x101,32,4C 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A 16 80 FF 7F 12 08 F1 F7 EE E5 55
TX,10:10:15.937,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:15.944,0x101,32,4D 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A 27 80 FF 7F 12 08 F1 F7 EE E5 55
TX,10:10:15.956,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:15.965,0x101,32,4E 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A 32 80 FF 7F 12 08 F1 F7 EE E5 55
TX,10:10:15.977,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:15.984,0x101,32,4F 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A 05 80 FF 7F 12 08 F1 F7 EE E5 55
TX,10:10:15.998,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:16.005,0x101,32,50 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A 10 80 FF 7F 12 09 F1 F7 EF E5 55
TX,10:10:16.016,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:16.023,0x101,32,51 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A 1B 80 FF 7F 12 09 F1 F7 EF E5 55
TX,10:10:16.036,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:16.044,0x101,32,52 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A 10 80 FF 7F 12 08 F1 F7 EE E5 55
TX,10:10:16.057,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:16.064,0x101,32,53 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A 38 80 FF 7F 12 09 F1 F7 EF E5 55
TX,10:10:16.077,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:16.085,0x101,32,54 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A 32 80 FF 7F 12 09 F1 F7 EF E5 55
TX,10:10:16.099,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:16.108,0x101,32,55 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A 27 80 FF 7F 12 09 F1 F7 EF E5 55
TX,10:10:16.117,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:16.125,0x101,32,56 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A 21 80 FF 7F 12 09 F1 F7 EF E5 55
TX,10:10:16.136,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:16.146,0x101,32,57 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A 32 80 FF 7F 12 09 F1 F7 EF E5 55
TX,10:10:16.157,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:16.167,0x101,32,58 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A 43 80 FF 7F 12 09 F1 F7 EF E5 55
TX,10:10:16.177,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:16.184,0x101,32,59 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A 27 80 FF 7F 12 09 F1 F7 EF E5 55
TX,10:10:16.196,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:16.205,0x101,32,5A 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A 16 80 FF 7F 12 09 F1 F7 EF E5 55
TX,10:10:16.216,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:16.227,0x101,32,5B 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A 32 80 FF 7F 12 09 F1 F7 EF E5 55
TX,10:10:16.241,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:16.249,0x101,32,5C 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A 43 80 FF 7F 12 09 F1 F7 EF E5 55
TX,10:10:16.259,0x300,6,40 40 40 08 04 01
TX,10:10:16.268,0x300,12,40 40 00 09 1C 01 00 01 10 42 10 20
TX,10:10:16.278,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:16.286,0x101,32,5D 40 40 38 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A 27 80 FF 7F 12 09 F1 F7 EF E5 55
RX,10:10:16.296,0x101,16,5E 40 00 39 24 01 00 01 10 42 10 20 02 00 01 20
RX,10:10:16.305,0x101,32,5F 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A 27 80 FF 7F 12 09 F1 F7 EF E5 55
TX,10:10:16.319,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:16.329,0x101,32,60 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A 3D 80 FF 7F 12 09 F1 F7 EF E5 55
TX,10:10:16.340,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:16.348,0x101,32,61 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A 43 80 FF 7F 12 09 F1 F7 EF E5 55
TX,10:10:16.359,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:16.368,0x101,32,62 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A 27 80 FF 7F 12 09 F1 F7 EF E5 55
TX,10:10:16.380,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:16.389,0x101,32,63 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A 5A 80 FF 7F 12 09 F1 F7 EF E5 55
TX,10:10:16.398,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:16.406,0x101,32,64 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A 32 80 FF 7F 12 09 F1 F7 EF E5 55
TX,10:10:16.418,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:16.425,0x101,32,65 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A 43 80 FF 7F 12 09 F1 F7 EF E5 55
TX,10:10:16.436,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:16.446,0x101,32,66 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A 1B 80 FF 7F 12 09 F1 F7 EF E5 55
TX,10:10:16.459,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:16.468,0x101,32,67 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A 4E 80 FF 7F 12 09 F1 F7 EF E5 55
TX,10:10:16.477,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:16.486,0x101,32,68 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A 38 80 FF 7F 12 09 F1 F7 EF E5 55
TX,10:10:16.499,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:16.509,0x101,32,69 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A 43 80 FF 7F 12 09 F1 F7 EF E5 55
TX,10:10:16.519,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:16.528,0x101,32,6A 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A 3D 80 FF 7F 12 09 F1 F7 EF E5 55
TX,10:10:16.543,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:16.553,0x101,32,6B 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A 16 80 FF 7F 12 09 F1 F7 EF E5 55
TX,10:10:16.563,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:16.573,0x101,32,6C 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A 16 80 FF 7F 12 09 F1 F7 EF E5 55
TX,10:10:16.586,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
RX,10:10:16.596,0x101,32,6D 40 40 28 6C 01 1A 01 00 42 00 00 00 FF 7F 51 78 FF 7F EF 7A 27 80 FF 7F 12 09 F1 F7 EF E5 55
TX,10:10:16.606,0x300,12,40 00 40 28 1C 01 06 01 00 41 EF 7A
